breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
Azawakh,https://www.dogbreedslist.info//all-dog-breeds/azawakh.html,#193,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years
English Foxhound,https://www.dogbreedslist.info//all-dog-breeds/english-foxhound.html,#194,No,46,Prices: $600 - $800,Lifespan: 10-13 years
Norwegian Lundehund,https://www.dogbreedslist.info//all-dog-breeds/norwegian-lundehund.html,#195,No,-,Prices: $2000 - $3000,Lifespan: 10-12 years
American Pit Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-pit-bull-terrier.html,-,No,-,Prices: $500 - $1000,Lifespan: 10-14 years
American White Shepherd,https://www.dogbreedslist.info//all-dog-breeds/american-white-shepherd.html,-,-,-,Prices: $1000 - $1500,Lifespan: 12-14 years
Cockapoo,https://www.dogbreedslist.info//all-dog-breeds/cockapoo.html,-,No,-,Prices: $1000 - $2000,Lifespan: 14-18 years
Goldendoodle,https://www.dogbreedslist.info//all-dog-breeds/goldendoodle.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-15 years
Japanese Spitz,https://www.dogbreedslist.info//all-dog-breeds/japanese-spitz.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-16 years
Miniature Bulldog,https://www.dogbreedslist.info//all-dog-breeds/toy-bulldog.html,-,No,-,Prices: $1500 - $4500,Lifespan: 9-12 years
Russian Toy,https://www.dogbreedslist.info//all-dog-breeds/russian-toy.html,-,No,-,Prices: $2000 - $2500,Lifespan: 11-13 years
Volpino Italiano,https://www.dogbreedslist.info//all-dog-breeds/volpino-italiano.html,-,No,-,Prices: $700 - $1500,Lifespan: 14-16 years
Bolognese dog,https://www.dogbreedslist.info//all-dog-breeds/bolognese-dog.html,-,Yes,-,Prices: $1000 - $2500,Lifespan: 13-15 years
Miniature Poodle,https://www.dogbreedslist.info//all-dog-breeds/miniature-poodle.html,-,Yes,2,Prices: $1500 - $3000,Lifespan: 14-16 years
Toy Poodle,https://www.dogbreedslist.info//all-dog-breeds/toy-poodle.html,-,Yes,2,Prices: $1500 - $3000,Lifespan: 14-16 years
Miniature Shar Pei,https://www.dogbreedslist.info//all-dog-breeds/miniature-shar-pei.html,-,No,-,Prices: $1500 - $3000,Lifespan: 9-11 years
Alapaha Blue Blood Bulldog,https://www.dogbreedslist.info//all-dog-breeds/alapaha-blue-blood-bulldog.html,-,No,-,Prices: $1500 - $2500,Lifespan: 12-15 years
Alaskan Klee Kai,https://www.dogbreedslist.info//all-dog-breeds/alaskan-klee-kai.html,-,No,-,Prices: $1500 - $2000,Lifespan: 12-15 years
Appenzeller Sennenhund,https://www.dogbreedslist.info//all-dog-breeds/appenzeller-sennenhund.html,-,No,-,Prices: $1800 - $2200,Lifespan: 12-15 years
Australian Bulldog,https://www.dogbreedslist.info//all-dog-breeds/australian-bulldog.html,-,No,-,Prices: $2500 - $3500,Lifespan: 10-12 years
Australian Kelpie,https://www.dogbreedslist.info//all-dog-breeds/australian-kelpie.html,-,No,-,Prices: $1200 - $1600,Lifespan: 10-14 years
Australian Stumpy Tail Cattle Dog,https://www.dogbreedslist.info//all-dog-breeds/australian-stumpy-tail-cattle-dog.html,-,No,-,Prices: $500 - $1000,Lifespan: 10-13 years
Austrian Black and Tan Hound,https://www.dogbreedslist.info//all-dog-breeds/austrian-black-and-tan-hound.html,-,No,-,Prices: $400 - $600,Lifespan: 12-14 years
Austrian Pinscher,https://www.dogbreedslist.info//all-dog-breeds/austrian-pinscher.html,-,No,-,Prices: $400 - $600,Lifespan: 12-14 years
Basset Bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/basset-bleu-de-gascogne.html,-,No,-,Prices: $1300 - $1600,Lifespan: 11-13 years
Basset Fauve de Bretagne,https://www.dogbreedslist.info//all-dog-breeds/basset-fauve-de-bretagne.html,-,-,-,Prices: $1200 - $1500,Lifespan: 11-14 years
Belgian Shepherd Laekenois,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-laekenois.html,-,No,-,Prices: $1700 - $2500,Lifespan: 10-12 years
Black Mouth Cur,https://www.dogbreedslist.info//all-dog-breeds/blackmouth-cur.html,-,No,-,Prices: $500 - $1300,Lifespan: 12-18 years
Black Norwegian Elkhound,https://www.dogbreedslist.info//all-dog-breeds/black-norwegian-elkhound.html,-,No,-,Prices: $700 - $1000,Lifespan: 12-15 years
Blue Lacy,https://www.dogbreedslist.info//all-dog-breeds/blue-lacy.html,-,-,-,Prices: $400 - $600,Lifespan: 14-16 years
Blue Picardy Spaniel,https://www.dogbreedslist.info//all-dog-breeds/blue-picardy-spaniel.html,-,No,-,Prices: $900 - $1200,Lifespan: 12-14 years
Bohemian Shepherd,https://www.dogbreedslist.info//all-dog-breeds/bohemian-shepherd.html,-,No,-,Prices: $2000 - $2500,Lifespan: 10-13 years
Bracco Italiano,https://www.dogbreedslist.info//all-dog-breeds/bracco-italiano.html,-,-,-,Prices: $2000 - $2500,Lifespan: 11-13 years
Braque du Bourbonnais,https://www.dogbreedslist.info//all-dog-breeds/braque-du-bourbonnais.html,-,No,-,Prices: $1200 - $1500,Lifespan: 13-15 years
Brazilian Terrier,https://www.dogbreedslist.info//all-dog-breeds/brazilian-terrier.html,-,-,-,Prices: $800 - $1000,Lifespan: 12-14 years
Bulgarian Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/bulgarian-shepherd-dog.html,-,No,-,Prices: $800 - $1000,Lifespan: 12-14 years
Canadian Eskimo Dog,https://www.dogbreedslist.info//all-dog-breeds/canadian-eskimo-dog.html,-,No,-,Prices: $3500 - $8000,Lifespan: 12-14 years
Carolina Dog,https://www.dogbreedslist.info//all-dog-breeds/carolina-dog.html,-,No,-,Prices: $800 - $1500,Lifespan: 12-14 years
Carpathian Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/carpathian-sheepdog.html,-,No,-,Prices: $1500 - $2000,Lifespan: 12-14 years
Catahoula Bulldog,https://www.dogbreedslist.info//all-dog-breeds/catahoula-bulldog.html,-,No,-,Prices: $400 - $700,Lifespan: 10-14 years
Catahoula Leopard Dog,https://www.dogbreedslist.info//all-dog-breeds/catahoula-leopard-dog.html,-,No,-,Prices: $400 - $700,Lifespan: 11-13 years
Catalan Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/catalan-sheepdog.html,-,No,-,Prices: $1200 - $1500,Lifespan: 12-14 years
Caucasian Ovcharka,https://www.dogbreedslist.info//all-dog-breeds/caucasian-ovtcharka.html,-,No,-,Prices: $1000 - $3000,Lifespan: 10-12 years
Central Asian Ovtcharka,https://www.dogbreedslist.info//all-dog-breeds/central-asian-ovtcharka.html,-,-,-,Prices: $1200 - $2000,Lifespan: 12-14 years
Croatian Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/croatian-sheepdog.html,-,-,-,Prices: $1000 - $1200,Lifespan: 12-14 years
Czechoslovakian Wolfdog,https://www.dogbreedslist.info//all-dog-breeds/czechoslovakian-wolfdog.html,-,No,-,Prices: $800 - $1500,Lifespan: 12-15 years
Dutch Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/dutch-shepherd-dog.html,-,No,-,Prices: $1000 - $2500,Lifespan: 12-15 years
East-European Shepherd,https://www.dogbreedslist.info//all-dog-breeds/east-european-shepherd.html,-,No,-,Prices: $900 - $1200,Lifespan: 12-14 years
English Shepherd,https://www.dogbreedslist.info//all-dog-breeds/english-shepherd.html,-,No,-,Prices: $400 - $800,Lifespan: 12-15 years
Eurasier,https://www.dogbreedslist.info//all-dog-breeds/eurasier.html,-,No,-,Prices: $2000 - $2500,Lifespan: 11-13 years
Fila Brasileiro,https://www.dogbreedslist.info//all-dog-breeds/fila-brasileiro.html,-,No,-,Prices: $1500 - $2000,Lifespan: 9-11 years
French Spaniel,https://www.dogbreedslist.info//all-dog-breeds/french-spaniel.html,-,No,-,Prices: $1500 - $2000,Lifespan: 10-12 years
Jagdterrier,https://www.dogbreedslist.info//all-dog-breeds/jagdterrier.html,-,No,-,Prices: $700 - $1000,Lifespan: 12-15 years
German Longhaired Pointer,https://www.dogbreedslist.info//all-dog-breeds/german-longhaired-pointer.html,-,No,-,Prices: $1000 - $1600,Lifespan: 10-12 years
Large Munsterlander,https://www.dogbreedslist.info//all-dog-breeds/large-munsterlander.html,-,No,-,Prices: $1500 - $1800,Lifespan: 11-13 years
Hokkaido Dog,https://www.dogbreedslist.info//all-dog-breeds/hokkaido-dog.html,-,No,-,Prices: $1000 - $1500,Lifespan: 11-13 years
Hovawart,https://www.dogbreedslist.info//all-dog-breeds/hovawart.html,-,No,-,Prices: $1200 - $3500,Lifespan: 10-14 years
Korean Jindo,https://www.dogbreedslist.info//all-dog-breeds/korean-jindo-dog.html,-,No,-,Prices: $800 - $1000,Lifespan: 12-15 years
Karelian Bear Dog,https://www.dogbreedslist.info//all-dog-breeds/karelian-bear-dog.html,-,No,-,Prices: $1400 - $1700,Lifespan: 10-12 years
Kishu Ken,https://www.dogbreedslist.info//all-dog-breeds/kishu.html,-,No,-,Prices: $1800 - $2200,Lifespan: 11-13 years
Koolie,https://www.dogbreedslist.info//all-dog-breeds/koolie.html,-,No,-,Prices: $700 - $900,Lifespan: 16-18 years
Kromfohrlander,https://www.dogbreedslist.info//all-dog-breeds/kromfohrlander.html,-,No,-,Prices: $2000 - $2500,Lifespan: 12-14 years
Lancashire Heeler,https://www.dogbreedslist.info//all-dog-breeds/lancashire-heeler.html,-,No,-,Prices: $800 - $1200,Lifespan: 12-15 years
Landseer,https://www.dogbreedslist.info//all-dog-breeds/landseer.html,-,No,-,Prices: $2000 - $2500,Lifespan: 9-11 years
McNab,https://www.dogbreedslist.info//all-dog-breeds/mcnab.html,-,No,-,Prices: $700 - $1000,Lifespan: 13-15 years
Mudi,https://www.dogbreedslist.info//all-dog-breeds/mudi.html,-,No,-,Prices: $2000 - $2500,Lifespan: 12-14 years
Small Munsterlander,https://www.dogbreedslist.info//all-dog-breeds/small-munsterlander.html,-,No,-,Prices: $1500 - $1800,Lifespan: 12-14 years
Norrbottenspets,https://www.dogbreedslist.info//all-dog-breeds/norrbottenspets.html,-,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years
Olde English Bulldogge,https://www.dogbreedslist.info//all-dog-breeds/olde-english-bulldogge.html,-,-,-,Prices: $2000 - $3000,Lifespan: 11-13 years
Pakistani Mastiff,https://www.dogbreedslist.info//all-dog-breeds/pakistani-mastiff.html,-,-,-,Prices: $1000 - $1500,Lifespan: 8-10 years
Patterdale Terrier,https://www.dogbreedslist.info//all-dog-breeds/patterdale-terrier.html,-,No,-,Prices: $700 - $1000,Lifespan: 11-14 years
Perro de Presa Canario,https://www.dogbreedslist.info//all-dog-breeds/perro-de-presa-canario.html,-,No,-,Prices: $1500 - $2500,Lifespan: 9-11 years
Perro de Presa Mallorquin,https://www.dogbreedslist.info//all-dog-breeds/perro-de-presa-mallorquin.html,-,-,-,Prices: $1500 - $2500,Lifespan: 10-12 years
Peruvian Inca Orchid,https://www.dogbreedslist.info//all-dog-breeds/peruvian-inca-orchid.html,-,Yes,-,Prices: $2000 - $4000,Lifespan: 11-13 years
Picardy Spaniel,https://www.dogbreedslist.info//all-dog-breeds/picardy-spaniel.html,-,No,-,Prices: $1200 - $1800,Lifespan: 12-14 years
Prazsky Krysarik,https://www.dogbreedslist.info//all-dog-breeds/prazsky-krysarik.html,-,No,-,Prices: $1500 - $2500,Lifespan: 12-15 years
Russian Spaniel,https://www.dogbreedslist.info//all-dog-breeds/russian-spaniel.html,-,No,-,Prices: $2000 - $2500,Lifespan: 14-16 years
Saarloos wolfdog,https://www.dogbreedslist.info//all-dog-breeds/saarloos-wolfdog.html,-,-,-,Prices: $2000 - $2500,Lifespan: 10-12 years
Sarplaninac,https://www.dogbreedslist.info//all-dog-breeds/sarplaninac.html,-,-,-,Prices: $1500 - $2000,Lifespan: 11-13 years
Schapendoes,https://www.dogbreedslist.info//all-dog-breeds/schapendoes.html,-,No,-,Prices: $1000 - $1500,Lifespan: 12-14 years
Shikoku dog,https://www.dogbreedslist.info//all-dog-breeds/shikoku-dog.html,-,-,-,Prices: $3000 - $4000,Lifespan: 10-12 years
Shiloh Shepherd dog,https://www.dogbreedslist.info//all-dog-breeds/shiloh-shepherd-dog.html,-,-,-,Prices: $1000 - $2000,Lifespan: 12-14 years
Silken Windhound,https://www.dogbreedslist.info//all-dog-breeds/silken-windhound.html,-,No,-,Prices: $2000 - $2500,Lifespan: 16-20 years
Kangal Dog,https://www.dogbreedslist.info//all-dog-breeds/kangal-dog.html,-,No,-,Prices: $1200 - $2500,Lifespan: 12-15 years
Pont-Audemer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/pont-audemer-spaniel.html,-,No,-,Prices: $1200 - $1600,Lifespan: 12-14 years
Spanish Mastiff,https://www.dogbreedslist.info//all-dog-breeds/spanish-mastiff.html,-,-,-,Prices: $1200 - $1800,Lifespan: 10-12 years
Swedish Lapphund,https://www.dogbreedslist.info//all-dog-breeds/swedish-lapphund.html,-,No,-,Prices: $1500 - $2000,Lifespan: 10-13 years
Tamaskan Dog,https://www.dogbreedslist.info//all-dog-breeds/tamaskan-dog.html,-,No,-,Prices: $1200 - $1700,Lifespan: 14-16 years
Thai Ridgeback,https://www.dogbreedslist.info//all-dog-breeds/thai-ridgeback.html,-,No,-,Prices: $1600 - $2000,Lifespan: 11-13 years
Tosa Ken,https://www.dogbreedslist.info//all-dog-breeds/tosa-dog.html,-,No,-,Prices: $1800 - $2200,Lifespan: 10-12 years
Alaskan Husky,https://www.dogbreedslist.info//all-dog-breeds/alaskan-husky.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-15 years
American Bulldog,https://www.dogbreedslist.info//all-dog-breeds/american-bulldog.html,-,No,-,Prices: $1500 - $3500,Lifespan: 10-12 years
Andalusian Hound,https://www.dogbreedslist.info//all-dog-breeds/andalusian-hound.html,-,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years
Basset Artesien Normand,https://www.dogbreedslist.info//all-dog-breeds/basset-artesien-normand.html,-,No,-,Prices: $1200 - $1500,Lifespan: 13-15 years
Mountain Feist,https://www.dogbreedslist.info//all-dog-breeds/mountain-feist.html,-,No,-,Prices: $500 - $800,Lifespan: 10-15 years
Texas Heeler,https://www.dogbreedslist.info//all-dog-breeds/texas-heeler.html,-,No,-,Prices: $400 - $700,Lifespan: 13-15 years
King Shepherd,https://www.dogbreedslist.info//all-dog-breeds/king-shepherd.html,-,No,-,Prices: $1500 - $2500,Lifespan: 10-13 years
Double Doodle,https://www.dogbreedslist.info//all-dog-breeds/double-doodle.html,-,-,-,Prices: $1000 - $3500,Lifespan: 12-15 years
Russian Tsvetnaya Bolonka,https://www.dogbreedslist.info//all-dog-breeds/russian-tsvetnaya-bolonka.html,-,Yes,-,Prices: $1500 - $2500,Lifespan: 12-16 years
Maremma Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/maremma-sheepdog.html,-,No,-,Prices: $1500 - $2500,Lifespan: 11-13 years
Shichon,https://www.dogbreedslist.info//all-dog-breeds/shichon.html,-,Yes,-,Prices: $1500 - $2500,Lifespan: 12-15 years
Broholmer,https://www.dogbreedslist.info//all-dog-breeds/broholmer.html,-,-,-,Prices: $1500 - $2000,Lifespan: 8-11 years
Biewer Terrier,https://www.dogbreedslist.info//all-dog-breeds/biewer-terrier.html,-,Yes,-,Prices: $2500 - $4500,Lifespan: 12-16 years
Pyrenean Mastiff,https://www.dogbreedslist.info//all-dog-breeds/pyrenean-mastiff.html,-,No,-,Prices: $1500 - $3000,Lifespan: 10-12 years
Romanian Mioritic Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/romanian-mioritic-shepherd-dog.html,-,No,-,Prices: $1400 - $1800,Lifespan: 12-14 years
American Mastiff,https://www.dogbreedslist.info//all-dog-breeds/american-mastiff.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-12 years
Lucas Terrier,https://www.dogbreedslist.info//all-dog-breeds/lucas-terrier.html,-,-,-,Prices: $2000 - $3500,Lifespan: 14-15 years
Lurcher,https://www.dogbreedslist.info//all-dog-breeds/lurcher.html,-,-,-,Prices: $600 - $800,Lifespan: 12-14 years
Akbash Dog,https://www.dogbreedslist.info//all-dog-breeds/akbash-dog.html,-,No,-,Prices: $700 - $900,Lifespan: 10-12 years
Alano Espanol,https://www.dogbreedslist.info//all-dog-breeds/alano-espanol.html,-,No,-,Prices: $600 - $2000,Lifespan: 11-14 years
Mal-Shi,https://www.dogbreedslist.info//all-dog-breeds/mal-shi.html,-,-,-,Prices: $1500 - $2500,Lifespan: 12-15 years
Slovensky Cuvac,https://www.dogbreedslist.info//all-dog-breeds/slovensky-cuvac.html,-,-,-,Prices: $1800 - $2500,Lifespan: 11-13 years
Moscow Watchdog,https://www.dogbreedslist.info//all-dog-breeds/moscow-watchdog.html,-,-,-,Prices: $2000 - $2500,Lifespan: 9-11 years
Stabyhoun,https://www.dogbreedslist.info//all-dog-breeds/stabyhoun.html,-,-,-,Prices: $2000 - $3200,Lifespan: 13-14 years
Mountain Cur,https://www.dogbreedslist.info//all-dog-breeds/mountain-cur.html,-,No,-,Prices: $500 - $1000,Lifespan: 12-16 years
Polish Tatra Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/polish-tatra-sheepdog.html,-,No,-,Prices: $1200 - $2000,Lifespan: 10-12 years
Puggle,https://www.dogbreedslist.info//all-dog-breeds/puggle.html,-,-,-,Prices: $1000 - $2000,Lifespan: 10-15 years
Spanish Greyhound,https://www.dogbreedslist.info//all-dog-breeds/spanish-greyhound.html,-,-,-,Prices: $800 - $1500,Lifespan: 12-15 years
Kyi-Leo,https://www.dogbreedslist.info//all-dog-breeds/kyi-leo.html,-,Yes,-,Prices: $800 - $1200,Lifespan: 12-15 years
Briquet Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/briquet-griffon-vendeen.html,-,No,-,Prices: $1000 - $1200,Lifespan: 10-12 years
Bukovina Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/bukovina-sheepdog.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-14 years
Cesky Fousek,https://www.dogbreedslist.info//all-dog-breeds/cesky-fousek.html,-,-,-,Prices: $800 - $1500,Lifespan: 12-15 years
Chart Polski,https://www.dogbreedslist.info//all-dog-breeds/chart-polski.html,-,No,-,Prices: $800 - $1200,Lifespan: 10-12 years
Deutsche Bracke,https://www.dogbreedslist.info//all-dog-breeds/deutsche-bracke.html,-,No,-,Prices: $800 - $1200,Lifespan: 10-12 years
East Siberian Laika,https://www.dogbreedslist.info//all-dog-breeds/east-siberian-laika.html,-,No,-,Prices: $1000 - $2000,Lifespan: 12-15 years
Greenland Dog,https://www.dogbreedslist.info//all-dog-breeds/greenland-dog.html,-,No,-,Prices: $1000 - $2000,Lifespan: 12-14 years
Griffon bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/griffon-bleu-de-gascogne.html,-,No,-,Prices: $1000 - $1500,Lifespan: 12-15 years
Japanese Terrier,https://www.dogbreedslist.info//all-dog-breeds/japanese-terrier.html,-,No,-,Prices: $600 - $800,Lifespan: 12-15 years
Lapponian Herder,https://www.dogbreedslist.info//all-dog-breeds/lapponian-herder.html,-,No,-,Prices: $1000 - $2000,Lifespan: 10-12 years
Grand Bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/grand-bleu-de-gascogne.html,-,-,-,Prices: $1000 - $1500,Lifespan: 12-14 years
Pudelpointer,https://www.dogbreedslist.info//all-dog-breeds/pudelpointer.html,-,No,-,Prices: $1200 - $1500,Lifespan: 9-11 years
Rajapalayam dog,https://www.dogbreedslist.info//all-dog-breeds/rajapalyam-dog.html,-,-,-,Prices: $300 - $500,Lifespan: 10-12 years
Beagle-Harrier,https://www.dogbreedslist.info//all-dog-breeds/beagle-harrier.html,-,No,-,Prices: $1500 - $2500,Lifespan: 12-14 years
Beaglier,https://www.dogbreedslist.info//all-dog-breeds/beaglier.html,-,No,-,Prices: $1200 - $2000,Lifespan: 13-15 years
Cairmal,https://www.dogbreedslist.info//all-dog-breeds/cairmal.html,-,-,-,Prices: $500 - $800,Lifespan: 12-15 years
Majestic Tree Hound,https://www.dogbreedslist.info//all-dog-breeds/majestic-tree-hound.html,-,No,-,Prices: $600 - $800,Lifespan: 10-13 years
Chorkie,https://www.dogbreedslist.info//all-dog-breeds/chorkie.html,-,-,-,Prices: $700 - $1200,Lifespan: 12-14 years
Cockalier,https://www.dogbreedslist.info//all-dog-breeds/cockalier.html,-,No,-,Prices: $1800 - $3500,Lifespan: 12-15 years
Dorkie,https://www.dogbreedslist.info//all-dog-breeds/dorkie.html,-,-,-,Prices: $600 - $800,Lifespan: 13-15 years
Ariege Pointer,https://www.dogbreedslist.info//all-dog-breeds/ariege-pointer.html,-,No,-,Prices: $600 - $800,Lifespan: 10-13 years
Ariegeois,https://www.dogbreedslist.info//all-dog-breeds/ariegeois.html,-,-,-,Prices: $1000 - $1200,Lifespan: 10-12 years
Bavarian Mountain Hound,https://www.dogbreedslist.info//all-dog-breeds/bavarian-mountain-hound.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-12 years
Bouvier des Ardennes,https://www.dogbreedslist.info//all-dog-breeds/bouvier-de-ardennes.html,-,-,-,Prices: $1500 - $3000,Lifespan: 12-14 years
Caravan Hound,https://www.dogbreedslist.info//all-dog-breeds/caravan-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-15 years
Danish-Swedish Farmdog,https://www.dogbreedslist.info//all-dog-breeds/danish-swedish-farmdog.html,-,No,-,Prices: Unknown,Lifespan: 10-15 years
Dingo,https://www.dogbreedslist.info//all-dog-breeds/dingo.html,-,No,-,Prices: Unknown,Lifespan: 16-20 years
Dutch Smoushond,https://www.dogbreedslist.info//all-dog-breeds/dutch-smoushond.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years
Finnish Hound,https://www.dogbreedslist.info//all-dog-breeds/finnish-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years
Northern Inuit Dog,https://www.dogbreedslist.info//all-dog-breeds/northern-inuit-dog.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years
Plummer Terrier,https://www.dogbreedslist.info//all-dog-breeds/plummer-terrier.html,-,-,-,Prices: Unknown,Lifespan: 12-15 years
Portuguese Pointer,https://www.dogbreedslist.info//all-dog-breeds/portuguese-pointer.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Rafeiro do Alentejo,https://www.dogbreedslist.info//all-dog-breeds/rafeiro-do-alentejo.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years
Seppala Siberian Sleddog,https://www.dogbreedslist.info//all-dog-breeds/seppala-siberian-sleddog.html,-,-,-,Prices: Unknown,Lifespan: 12-16 years
South Russian Ovcharka,https://www.dogbreedslist.info//all-dog-breeds/south-russian-ovcharka.html,-,No,-,Prices: Unknown,Lifespan: 9-11 years
Tornjak,https://www.dogbreedslist.info//all-dog-breeds/tornjak.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years
Karst Shepherd,https://www.dogbreedslist.info//all-dog-breeds/karst-shepherd.html,-,-,-,Prices: Unknown,Lifespan: 11-12 years
West Siberian Laika,https://www.dogbreedslist.info//all-dog-breeds/west-siberian-laika.html,-,No,-,Prices: Unknown,Lifespan: 14-16 years
Wetterhoun,https://www.dogbreedslist.info//all-dog-breeds/wetterhoun.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Bull Arab,https://www.dogbreedslist.info//all-dog-breeds/bull-arab.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years
Taco Terrier,https://www.dogbreedslist.info//all-dog-breeds/taco-terrier.html,-,-,-,Prices: Unknown,Lifespan: 13-15 years
Africanis,https://www.dogbreedslist.info//all-dog-breeds/africanis.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years
Aidi,https://www.dogbreedslist.info//all-dog-breeds/aidi.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years
American Staghound,https://www.dogbreedslist.info//all-dog-breeds/american-staghound.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years
Cão da Serra de Aires,https://www.dogbreedslist.info//all-dog-breeds/cao-da-serra-de-aires.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Drentse Patrijshond,https://www.dogbreedslist.info//all-dog-breeds/drentse-patrijshond.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Drever,https://www.dogbreedslist.info//all-dog-breeds/drever.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Dunker,https://www.dogbreedslist.info//all-dog-breeds/dunker.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years
Francais Blanc et Noir,https://www.dogbreedslist.info//all-dog-breeds/francais-blanc-et-noir.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years
Polish Hunting Dog,https://www.dogbreedslist.info//all-dog-breeds/polish-hunting-dog.html,-,No,-,Prices: Unknown,Lifespan: 10-13 years
Hamilton Hound,https://www.dogbreedslist.info//all-dog-breeds/hamilton-hound.html,-,No,-,Prices: Unknown,Lifespan: 11-13 years
Jämthund,https://www.dogbreedslist.info//all-dog-breeds/jamthund.html,-,-,-,Prices: Unknown,Lifespan: 11-14 years
New Guinea Singing Dog,https://www.dogbreedslist.info//all-dog-breeds/new-guinea-singing-dog.html,-,No,-,Prices: Unknown,Lifespan: 16-19 years
Sapsali,https://www.dogbreedslist.info//all-dog-breeds/sapsali.html,-,-,-,Prices: Unknown,Lifespan: 11-13 years
Smaland Hound,https://www.dogbreedslist.info//all-dog-breeds/smaland-hound.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years
Serbian Hound,https://www.dogbreedslist.info//all-dog-breeds/serbian-hound.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years
Thai Bangkaew Dog,https://www.dogbreedslist.info//all-dog-breeds/thai-bangkaew-dog.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years
Transylvanian Hound,https://www.dogbreedslist.info//all-dog-breeds/transylvanian-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years
Alopekis,https://www.dogbreedslist.info//all-dog-breeds/alopekis.html,-,No,-,Prices: Unknown,Lifespan: 14-16 years
Chippiparai,https://www.dogbreedslist.info//all-dog-breeds/chippiparai.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years
Chizer,https://www.dogbreedslist.info//all-dog-breeds/chizer.html,-,-,-,Prices: Unknown,Lifespan: 12-15 years
Cotonese,https://www.dogbreedslist.info//all-dog-breeds/cotonese.html,-,No,-,Prices: Unknown,Lifespan: 13-15 years
Dorgi,https://www.dogbreedslist.info//all-dog-breeds/dorgi.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years
