breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan,characteristics
Boston Terrier,https://www.dogbreedslist.info//all-dog-breeds/boston-terrier.html,#21,No,54,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Friendly', 'Lively', 'Playful', 'Affectionate']"
Bernese Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/bernese-mountain-dog.html,#22,No,22,Prices: $1500 - $3000,Lifespan: 7-10 years,"['Intelligent', 'Loyal', 'Faithful', 'Playful']"
Pomeranian,https://www.dogbreedslist.info//all-dog-breeds/pomeranian.html,#23,No,23,Prices: $1500 - $3000,Lifespan: 12-16 years,"['Intelligent', 'Sociable', 'Friendly', 'Companionable']"
Havanese,https://www.dogbreedslist.info//all-dog-breeds/havanese.html,#24,Yes,45,Prices: $1500 - $2500,Lifespan: 14-16 years,"['Responsive', 'Playful', 'Affectionate', 'Quiet']"
Cane Corso,https://www.dogbreedslist.info//all-dog-breeds/cane-corso-italiano.html,#25,No,-,Prices: $1500 - $2500,Lifespan: 10-11 years,"['Even Tempered', 'Calm', 'Reserved', 'Attentive']"
English Springer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-springer-spaniel.html,#26,No,13,Prices: $800 - $1800,Lifespan: 10-14 years,"['Intelligent', 'Active', 'Cheerful', 'Playful']"
Shetland Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/shetland-sheepdog.html,#27,No,6,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Gentle', 'Intelligent', 'Lively', 'Happy']"
Brittany,https://www.dogbreedslist.info//all-dog-breeds/french-brittany.html,#28,No,19,Prices: $700 - $1100,Lifespan: 12-15 years,"['Intelligent', 'Agile', 'Quick', 'Playful']"
Pug,https://www.dogbreedslist.info//all-dog-breeds/pug.html,#29,No,57,Prices: $800 - $1500,Lifespan: 12-15 years,"['Stubborn', 'Attentive', 'Sociable', 'Outgoing']"
American Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/american-cocker-spaniel.html,#30,No,20,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Sociable', 'Even Tempered', 'Trusting', 'Energetic']"
Miniature American Shepherd,https://www.dogbreedslist.info//all-dog-breeds/miniature-american-shepherd.html,#31,-,-,Prices: $800 - $1500,Lifespan: 13-15 years,"['Intelligent', 'Loyal', 'Intelligent', 'Energetic']"
Border Collie,https://www.dogbreedslist.info//all-dog-breeds/border-collie.html,#32,No,1,Prices: $800 - $1500,Lifespan: 12-15 years,"['Tenacious', 'Responsive', 'Dignified', 'Affectionate']"
Mastiff,https://www.dogbreedslist.info//all-dog-breeds/english-mastiff.html,#33,No,72,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Good-natured', 'Courageous', 'Devoted', 'Quick']"
Chihuahua,https://www.dogbreedslist.info//all-dog-breeds/chihuahua.html,#34,No,67,Prices: $800 - $2500,Lifespan: 14-18 years,"['Courageous', 'Lively', 'Intelligent', 'Loyal']"
Vizsla,https://www.dogbreedslist.info//all-dog-breeds/vizsla.html,#35,No,25,Prices: $1000 - $1800,Lifespan: 10-14 years,"['Affectionate', 'Energetic', 'Gentle', 'Friendly']"
Basset Hound,https://www.dogbreedslist.info//all-dog-breeds/basset-hound.html,#36,No,71,Prices: $800 - $1500,Lifespan: 10-12 years,"['Devoted', 'Sweet-Tempered', 'Stubborn', 'Confident']"
Belgian Malinois,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-malinois.html,#37,No,22,Prices: $1000 - $1800,Lifespan: 12-14 years,"['Protective', 'Watchful', 'Playful', 'Gentle']"
Maltese,https://www.dogbreedslist.info//all-dog-breeds/maltese-dog.html,#38,Yes,59,Prices: $1500 - $2500,Lifespan: 15-18 years,"['Lively', 'Docile', 'Energetic', 'Stubborn']"
Weimaraner,https://www.dogbreedslist.info//all-dog-breeds/weimaraner.html,#39,No,21,Prices: $700 - $1500,Lifespan: 10-12 years,"['Fast', 'Intelligent', 'Gentle', 'Loyal']"
Collie,https://www.dogbreedslist.info//all-dog-breeds/rough-collie.html,#40,No,16,Prices: $1200 - $1800,Lifespan: 14-16 years,"['Intelligent', 'Protective', 'Gentle', 'Trainable']"
Newfoundland,https://www.dogbreedslist.info//all-dog-breeds/newfoundland.html,#41,No,34,Prices: $1700 - $2500,Lifespan: 9-12 years,"['Sweet-Tempered', 'Dignified', 'Sensitive', 'Mischievous']"
Rhodesian Ridgeback,https://www.dogbreedslist.info//all-dog-breeds/rhodesian-ridgeback.html,#42,No,52,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Strong Willed', 'Charming', 'Confident', 'Fearless']"
Shiba Inu,https://www.dogbreedslist.info//all-dog-breeds/shiba-inu.html,#43,No,49,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Keen', 'Hardy', 'Friendly', 'Independent']"
West Highland White Terrier,https://www.dogbreedslist.info//all-dog-breeds/west-highland-white-terrier.html,#44,Yes,47,Prices: $1500 - $3000,Lifespan: 12-16 years,"['Courageous', 'Playful', 'Gentle', 'Sensitive']"
Bichon Frise,https://www.dogbreedslist.info//all-dog-breeds/bichon-frise.html,#45,Yes,45,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Cheerful', 'Stubborn', 'Affectionate', 'Gentle']"
Bloodhound,https://www.dogbreedslist.info//all-dog-breeds/bloodhound.html,#46,No,74,Prices: $700 - $1200,Lifespan: 10-12 years,"['Even Tempered', 'Playful', 'Faithful', 'Friendly']"
English Cocker Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-cocker-spaniel.html,#47,No,18,Prices: $1000 - $1800,Lifespan: 12-14 years,"['Quiet', 'Dignified', 'Friendly', 'Courageous']"
Akita,https://www.dogbreedslist.info//all-dog-breeds/american-akita.html,#48,No,54,Prices: $1000 - $2500,Lifespan: 10-14 years,"['Docile', 'Brave', 'Quarrelsome', 'Docile']"
Portuguese Water Dog,https://www.dogbreedslist.info//all-dog-breeds/portuguese-water-dog.html,#49,Yes,29,Prices: $2000 - $3000,Lifespan: 10-14 years,"['Impetuous', 'Happy', 'Affectionate', 'Intelligent']"
Chesapeake Bay Retriever,https://www.dogbreedslist.info//all-dog-breeds/chesapeake-bay-retriever.html,#50,No,27,Prices: $800 - $1500,Lifespan: 10-13 years,"['Quiet', 'Intelligent', 'Outgoing', 'Friendly']"
Dalmatian,https://www.dogbreedslist.info//all-dog-breeds/dalmatian.html,#51,No,39,Prices: $1000 - $1600,Lifespan: 12-14 years,"['Energetic', 'Friendly', 'Lively', 'Watchful']"
St. Bernard,https://www.dogbreedslist.info//all-dog-breeds/st-bernard.html,#52,No,65,Prices: $1000 - $2000,Lifespan: 8-10 years,"['Gentle', 'Friendly', 'Energetic', 'Happy']"
Papillon,https://www.dogbreedslist.info//all-dog-breeds/papillon-dog.html,#53,No,8,Prices: $1000 - $2000,Lifespan: 13-16 years,"['Intelligent', 'Intelligent', 'Loyal', 'Energetic']"
Australian Cattle Dog,https://www.dogbreedslist.info//all-dog-breeds/australian-cattle-dog.html,#54,No,10,Prices: $400 - $1000,Lifespan: 12-15 years,"['Protective', 'Courageous', 'Docile', 'Loyal']"
Bullmastiff,https://www.dogbreedslist.info//all-dog-breeds/bullmastiff.html,#55,No,69,Prices: $1500 - $2500,Lifespan: 8-10 years,"['Powerful', 'Lively', 'Sociable', 'Friendly']"
Samoyed,https://www.dogbreedslist.info//all-dog-breeds/samoyed.html,#56,Yes,33,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Playful', 'Quick', 'Independent', 'Self-assured']"
Scottish Terrier,https://www.dogbreedslist.info//all-dog-breeds/scottish-terrier.html,#57,Yes,65,Prices: $1400 - $2000,Lifespan: 11-13 years,"['Playful', 'Spirited', 'Faithful', 'Energetic']"
Soft Coated Wheaten Terrier,https://www.dogbreedslist.info//all-dog-breeds/soft-coated-wheaten-terrier.html,#58,Yes,40,Prices: $1800 - $3000,Lifespan: 12-15 years,"['Intelligent', 'Gentle', 'Affectionate', 'Intelligent']"
Whippet,https://www.dogbreedslist.info//all-dog-breeds/whippet.html,#59,No,51,Prices: $2000 - $2500,Lifespan: 12-15 years,"['Lively', 'Willful', 'Intelligent', 'Affectionate']"
German Wirehaired Pointer,https://www.dogbreedslist.info//all-dog-breeds/german-wirehaired-pointer.html,#60,No,44,Prices: $800 - $1200,Lifespan: 12-14 years,"['Active', 'Independent', 'Reserved', 'Suspicious']"
Shar-Pei,https://www.dogbreedslist.info//all-dog-breeds/shar-pei.html,#61,No,51,Prices: $1000 - $1500,Lifespan: 9-11 years,"['Devoted', 'Intelligent', 'Outgoing', 'Courageous']"
Airedale Terrier,https://www.dogbreedslist.info//all-dog-breeds/airedale-terrier.html,#62,Yes,29,Prices: $800 - $1500,Lifespan: 10-13 years,"['Confident', 'Loyal', 'Trainable', 'Gentle']"
Wirehaired Pointing Griffon,https://www.dogbreedslist.info//all-dog-breeds/wirehaired-pointing-griffon.html,#63,Yes,46,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Vigilant', 'Sweet-Tempered', 'Keen', 'Protective']"
Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/bull-terrier.html,#64,No,66,Prices: $1200 - $2000,Lifespan: 10-12 years,"['Trainable', 'Dignified', 'Playful', 'Friendly']"
Alaskan Malamute,https://www.dogbreedslist.info//all-dog-breeds/alaskan-malamute.html,#65,No,50,Prices: $1200 - $2000,Lifespan: 12-15 years,"['Devoted', 'Intelligent', 'Alert', 'Devoted']"
Cardigan Welsh Corgi,https://www.dogbreedslist.info//all-dog-breeds/cardigan-welsh-corgi.html,#66,No,26,Prices: $1200 - $2200,Lifespan: 12-15 years,"['Companionable', 'Kind', 'Strong Willed', 'Powerful']"
Giant Schnauzer,https://www.dogbreedslist.info//all-dog-breeds/giant-schnauzer.html,#67,Yes,28,Prices: $2000 - $3000,Lifespan: 10-12 years,"['Intelligent', 'Bubbly', 'Intelligent', 'Adaptable']"
Old English Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/old-english-sheepdog.html,#68,No,63,Prices: $1800 - $3000,Lifespan: 10-12 years,"['Loving', 'Intelligent', 'Agile', 'Athletic']"
Italian Greyhound,https://www.dogbreedslist.info//all-dog-breeds/italian-greyhound.html,#69,Yes,60,Prices: $1400 - $2000,Lifespan: 12-15 years,"['Companionable', 'Patient', 'Affectionate', 'Confident']"
Great Pyrenees,https://www.dogbreedslist.info//all-dog-breeds/great-pyrenees.html,#70,No,64,Prices: $800 - $1500,Lifespan: 10-12 years,"['Strong Willed', 'Devoted', 'Courageous', 'Companionable']"
Dogue de Bordeaux,https://www.dogbreedslist.info//all-dog-breeds/dogue-de-bordeaux.html,#71,No,-,Prices: $1800 - $2500,Lifespan: 10-12 years,"['Vigilant', 'Vocal', 'Stubborn', 'Athletic']"
Jack Russell Terrier,https://www.dogbreedslist.info//all-dog-breeds/jack-russell-terrier.html,#72,No,46,Prices: $800 - $1500,Lifespan: 13-16 years,"['Energetic', 'Intelligent', 'Fearless', 'Hardy']"
Cairn Terrier,https://www.dogbreedslist.info//all-dog-breeds/cairn-terrier.html,#73,Yes,35,Prices: $1200 - $2000,Lifespan: 12-15 years,"['Assertive', 'Dignified', 'Generous', 'Loyal']"
Irish Wolfhound,https://www.dogbreedslist.info//all-dog-breeds/irish-wolfhound.html,#74,No,41,Prices: $1500 - $2500,Lifespan: 6-10 years,"['Patient', 'Intelligent', 'Lively', 'Playful']"
Irish Setter,https://www.dogbreedslist.info//all-dog-breeds/irish-setter.html,#75,No,35,Prices: $1200 - $2500,Lifespan: 12-14 years,"['Companionable', 'Protective', 'Self-Confident', 'Devoted']"
Greater Swiss Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/greater-swiss-mountain-dog.html,#76,No,-,Prices: $1200 - $2800,Lifespan: 10-12 years,"['Good-natured', 'Playful', 'Outgoing', 'Energetic']"
Miniature Pinscher,https://www.dogbreedslist.info//all-dog-breeds/miniature-pinscher.html,#77,No,37,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Responsive', 'Energetic', 'Playful', 'Intelligent']"
Lhasa Apso,https://www.dogbreedslist.info//all-dog-breeds/lhasa-apso.html,#78,No,68,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Friendly', 'Happy', 'Playful', 'Affectionate']"
Chinese Crested,https://www.dogbreedslist.info//all-dog-breeds/chinese-crested.html,#79,Yes,61,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Sweet-Tempered', 'Playful', 'Affectionate', 'Lively']"
Coton De Tulear,https://www.dogbreedslist.info//all-dog-breeds/coton-de-tulear.html,#80,Yes,60,Prices: $1500 - $2500,Lifespan: 14-16 years,"['Trainable', 'Reliable', 'Courageous', 'Affectionate']"
Staffordshire Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/staffordshire-bull-terrier.html,#81,No,49,Prices: $1500 - $2500,Lifespan: 12-14 years,"['Intelligent', 'Friendly', 'Devoted', 'Courageous']"
American Staffordshire Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-staffordshire-terrier.html,#82,No,34,Prices: $1500 - $2500,Lifespan: 12-14 years,"['Loyal', 'Loving', 'Alert', 'Lively']"
Rat Terrier,https://www.dogbreedslist.info//all-dog-breeds/rat-terrier.html,#83,No,-,Prices: $600 - $1200,Lifespan: 15-18 years,"['Inquisitive', 'Aloof', 'Independent', 'Loyal']"
Chow Chow,https://www.dogbreedslist.info//all-dog-breeds/chow-chow.html,#84,No,76,Prices: $1200 - $2000,Lifespan: 13-15 years,"['Quiet', 'Independent', 'Steady', 'Confident']"
Anatolian Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/anatolian-shepherd-dog.html,#85,No,-,Prices: $800 - $1200,Lifespan: 10-13 years,"['Proud', 'Curious', 'Affectionate', 'Intelligent']"
Basenji,https://www.dogbreedslist.info//all-dog-breeds/basenji.html,#86,No,78,Prices: $1500 - $2000,Lifespan: 12-15 years,"['Alert', 'Friendly', 'Energetic', 'Companionable']"
Boykin Spaniel,https://www.dogbreedslist.info//all-dog-breeds/boykin-spaniel.html,#87,No,-,Prices: $700 - $1200,Lifespan: 14-16 years,"['Trainable', 'Loving', 'Loyal', 'Companionable']"
Lagotto Romagnolo,https://www.dogbreedslist.info//all-dog-breeds/lagotto-romagnolo.html,#88,Yes,-,Prices: $3000 - $5000,Lifespan: 14-16 years,"['Trainable', 'Companionable', 'Sensitive', 'Watchful']"
Brussels Griffon,https://www.dogbreedslist.info//all-dog-breeds/brussels-griffon.html,#89,Yes,-,Prices: $1800 - $2800,Lifespan: 12-15 years,"['Inquisitive', 'Outgoing', 'Loving', 'Alert']"
Nova Scotia Duck Tolling Retriever,https://www.dogbreedslist.info//all-dog-breeds/tolling-retriever.html,#90,No,-,Prices: $1500 - $2500,Lifespan: 12-14 years,"['Patient', 'Strong Willed', 'Hardy', 'Intelligent']"
Norwegian Elkhound,https://www.dogbreedslist.info//all-dog-breeds/norwegian-elkhound.html,#91,No,36,Prices: $700 - $1500,Lifespan: 10-12 years,"['Playful', 'Lively', 'Trainable', 'Intelligent']"
Standard Schnauzer,https://www.dogbreedslist.info//all-dog-breeds/standard-schnauzer.html,#92,Yes,18,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Playful', 'Friendly', 'Loyal', 'Protective']"
Dogo Argentino,https://www.dogbreedslist.info//all-dog-breeds/argentine-dogo.html,#93,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Cheerful', 'Intelligent', 'Loyal', 'Protective']"
Bouvier des Flandres,https://www.dogbreedslist.info//all-dog-breeds/bouvier-des-flanders.html,#94,Yes,29,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Familial', 'Stubborn', 'Opinionated', 'Aggressive']"
Pekingese,https://www.dogbreedslist.info//all-dog-breeds/pekingese.html,#95,No,73,Prices: $1500 - $3000,Lifespan: 13-15 years,"['Good-natured', 'Intelligent', 'Quick', 'Agile']"
Keeshond,https://www.dogbreedslist.info//all-dog-breeds/keeshond.html,#96,No,16,Prices: $1500 - $2000,Lifespan: 12-14 years,"['Sturdy', 'Intelligent', 'Obedient', 'Even Tempered']"
Border Terrier,https://www.dogbreedslist.info//all-dog-breeds/border-terrier.html,#97,Yes,30,Prices: $800 - $1500,Lifespan: 12-15 years,"['Fearless', 'Loyal', 'Companionable', 'Fearless']"
Leonberger,https://www.dogbreedslist.info//all-dog-breeds/leonberger.html,#98,No,-,Prices: $2000 - $4000,Lifespan: 8-10 years,"['Obedient', 'Energetic', 'Sensitive', 'Reserved']"
Tibetan Terrier,https://www.dogbreedslist.info//all-dog-breeds/tibetan-terrier.html,#99,Yes,62,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Amiable', 'Obedient', 'Stubborn', 'Dominant']"
Neapolitan Mastiff,https://www.dogbreedslist.info//all-dog-breeds/neapolitan-mastiff.html,#100,No,-,Prices: $2500 - $4500,Lifespan: 9-10 years,"['Protective', 'Intelligent', 'Energetic', 'Mischievous']"
English Setter,https://www.dogbreedslist.info//all-dog-breeds/english-setter.html,#101,No,37,Prices: $1000 - $1500,Lifespan: 10-12 years,"['Strong Willed', 'Optimistic', 'Outgoing', 'Devoted']"
Flat-Coated Retriever,https://www.dogbreedslist.info//all-dog-breeds/flat-coated-retriever.html,#102,No,18,Prices: $1500 - $3000,Lifespan: 10-13 years,"['Confident', 'Gentle', 'Independent', 'Quiet']"
Borzoi,https://www.dogbreedslist.info//all-dog-breeds/borzoi.html,#103,No,75,Prices: $1500 - $3000,Lifespan: 10-12 years,"['Athletic', 'Quick', 'Keen', 'Friendly']"
Wire Fox Terrier,https://www.dogbreedslist.info//all-dog-breeds/wire-fox-terrier.html,#104,Yes,51,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Fearless', 'Playful', 'Energetic', 'Even Tempered']"
Miniature Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/miniature-bull-terrier.html,#105,No,66,Prices: $2500 - $3500,Lifespan: 10-12 years,"['Loving', 'Intelligent', 'Loyal', 'Energetic']"
Belgian Tervuren,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-tervuren.html,#106,No,14,Prices: $1500 - $2000,Lifespan: 10-12 years,"['Protective', 'Intelligent', 'Confident', 'Alert']"
Gordon Setter,https://www.dogbreedslist.info//all-dog-breeds/gordon-setter.html,#107,No,34,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Fearless', 'Friendly', 'Quick', 'Responsive']"
Silky Terrier,https://www.dogbreedslist.info//all-dog-breeds/australian-silky-terrier.html,#108,Yes,37,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Inquisitive', 'Sensitive', 'Intelligent', 'Hardy']"
Norwich Terrier,https://www.dogbreedslist.info//all-dog-breeds/norwich-terrier.html,#109,Yes,38,Prices: $2000 - $4000,Lifespan: 12-15 years,"['Energetic', 'Patient', 'Loyal', 'Gentle']"
Spinone Italiano,https://www.dogbreedslist.info//all-dog-breeds/spinone-italiano.html,#110,No,-,Prices: $1200 - $2000,Lifespan: 12-14 years,"['Docile', 'Loving', 'Cat-like', 'Loyal']"
Japanese Chin,https://www.dogbreedslist.info//all-dog-breeds/japanese-chin.html,#111,No,62,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Intelligent', 'Spirited', 'Alert', 'Intelligent']"
Welsh Terrier,https://www.dogbreedslist.info//all-dog-breeds/welsh-terrier.html,#112,Yes,53,Prices: $1500 - $3000,Lifespan: 10-14 years,"['Friendly', 'Spirited', 'Friendly', 'Playful']"
Toy Fox Terrier,https://www.dogbreedslist.info//all-dog-breeds/toy-fox-terrier.html,#113,No,-,Prices: $1000 - $1800,Lifespan: 13-14 years,"['Loyal', 'Confident', 'Fearless', 'Faithful']"
Schipperke,https://www.dogbreedslist.info//all-dog-breeds/schipperke.html,#114,No,15,Prices: $1200 - $2000,Lifespan: 13-15 years,"['Agile', 'Happy', 'Obedient', 'Energetic']"
Parson Russell Terrier,https://www.dogbreedslist.info//all-dog-breeds/parson-russell-terrier.html,#115,No,-,Prices: $1200 - $2000,Lifespan: 13-15 years,"['Eager', 'Even Tempered', 'Amiable', 'Loyal']"
Pointer,https://www.dogbreedslist.info//all-dog-breeds/english-pointer.html,#116,No,43,Prices: $1000 - $1500,Lifespan: 12-15 years,"['Kind', 'Powerful', 'Dominant', 'Loyal']"
Belgian Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/groenendael.html,#117,No,15,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Intelligent', 'Willful', 'Assertive', 'Intelligent']"
Tibetan Spaniel,https://www.dogbreedslist.info//all-dog-breeds/tibetan-spaniel.html,#118,No,46,Prices: $1500 - $2000,Lifespan: 12-15 years,"['Aloof', 'Alert', 'Friendly', 'Reserved']"
American Eskimo Dog,https://www.dogbreedslist.info//all-dog-breeds/american-eskimo-dog.html,#119,No,-,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Protective', 'Respectful', 'Dominant', 'Protective']"
Irish Terrier,https://www.dogbreedslist.info//all-dog-breeds/irish-terrier.html,#120,Yes,53,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Intelligent', 'Friendly', 'Calm', 'Fearless']"
Beauceron,https://www.dogbreedslist.info//all-dog-breeds/beauceron.html,#121,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years,"['Protective', 'Clownish', 'Happy', 'Dignified']"
Afghan Hound,https://www.dogbreedslist.info//all-dog-breeds/afghan-hound.html,#122,Yes,79,Prices: $2500 - $3500,Lifespan: 12-14 years,"['Independent', 'Obedient', 'Dominant', 'Confident']"
Boerboel,https://www.dogbreedslist.info//all-dog-breeds/boerboel.html,#123,No,-,Prices: $2000 - $4000,Lifespan: 10-12 years,"['Territorial', 'Intelligent', 'Fearless', 'Playful']"
Smooth Fox Terrier,https://www.dogbreedslist.info//all-dog-breeds/smooth-fox-terrier.html,#124,No,40,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Active', 'Intelligent', 'Lively', 'Hardy']"
Bearded Collie,https://www.dogbreedslist.info//all-dog-breeds/bearded-collie.html,#125,No,34,Prices: $1500 - $2000,Lifespan: 12-14 years,"['Self-Confident', 'Lively', 'Energetic', 'Confident']"
Black Russian Terrier,https://www.dogbreedslist.info//all-dog-breeds/black-russian-terrier.html,#126,No,-,Prices: $3000 - $4000,Lifespan: 10-14 years,"['Hardy', 'Gentle', 'Even Tempered', 'Easygoing']"
Black and Tan Coonhound,https://www.dogbreedslist.info//all-dog-breeds/black-and-tan-coonhound.html,#127,No,44,Prices: $400 - $800,Lifespan: 10-12 years,"['Lovable', 'Friendly', 'Loyal', 'Stubborn']"
Welsh Springer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/welsh-springer-spaniel.html,#128,No,31,Prices: $2000 - $2500,Lifespan: 12-15 years,"['Playful', 'Playful', 'Alert', 'Lively']"
American Hairless Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-hairless-terrier.html,#129,Yes,-,Prices: $2000 - $4000,Lifespan: 14-16 years,"['Inquisitive', 'Self-Confident', 'Spirited', 'Lovable']"
Norfolk Terrier,https://www.dogbreedslist.info//all-dog-breeds/norfolk-terrier.html,#130,Yes,56,Prices: $2500 - $3500,Lifespan: 12-15 years,"['Happy', 'Companionable', 'Protective', 'Intelligent']"
Xoloitzcuintli,https://www.dogbreedslist.info//all-dog-breeds/xoloitzcuintle.html,#131,Yes,-,Prices: $2000 - $4000,Lifespan: 14-20 years,"['Cheerful', 'Devoted', 'Active', 'Alert']"
Manchester Terrier,https://www.dogbreedslist.info//all-dog-breeds/manchester-terrier.html,#132,No,32,Prices: $500 - $1000,Lifespan: 14-16 years,"['Discerning', 'Spirited', 'Strong Willed', 'Gentle']"
Kerry Blue Terrier,https://www.dogbreedslist.info//all-dog-breeds/kerry-blue-terrier.html,#133,Yes,35,Prices: $2000 - $2500,Lifespan: 12-15 years,"['Affectionate', 'Courageous', 'Loyal', 'Even Tempered']"
Australian Terrier,https://www.dogbreedslist.info//all-dog-breeds/australian-terrier.html,#134,Yes,34,Prices: $1200 - $1500,Lifespan: 12-15 years,"['Companionable', 'Dignified', 'Gentle', 'Loyal']"
