breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan,characteristics
Clumber Spaniel,https://www.dogbreedslist.info//all-dog-breeds/clumber-spaniel.html,#135,No,37,Prices: $1200 - $1500,Lifespan: 10-12 years,"['Great-hearted', 'Independent', 'Trainable', 'Intelligent']"
Lakeland Terrier,https://www.dogbreedslist.info//all-dog-breeds/lakeland-terrier.html,#136,Yes,62,Prices: $1500 - $2800,Lifespan: 12-16 years,"['Confident', 'Active', 'Intelligent', 'Friendly']"
Bluetick Coonhound,https://www.dogbreedslist.info//all-dog-breeds/bluetick-coonhound.html,#137,No,-,Prices: $400 - $1200,Lifespan: 11-12 years,"['Gentle', 'Loyal', 'Playful', 'Quiet']"
English Toy Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-toy-spaniel.html,#138,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years,"['Social', 'Even Tempered', 'Spirited', 'Lively']"
German Pinscher,https://www.dogbreedslist.info//all-dog-breeds/german-pinscher.html,#139,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years,"['Loving', 'Stubborn', 'Tenacious', 'Strong Willed']"
Tibetan Mastiff,https://www.dogbreedslist.info//all-dog-breeds/tibetan-mastiff.html,#140,No,-,Prices: $2500 - $4000,Lifespan: 10-14 years,"['Protective', 'Affectionate', 'Intelligent', 'Good-tempered']"
Bedlington Terrier,https://www.dogbreedslist.info//all-dog-breeds/bedlington-terrier.html,#141,Yes,40,Prices: $1800 - $2500,Lifespan: 14-16 years,"['Spirited', 'Athletic', 'Even Tempered', 'Gentle']"
Greyhound,https://www.dogbreedslist.info//all-dog-breeds/greyhound.html,#142,No,46,Prices: $1500 - $2500,Lifespan: 10-13 years,"['Intelligent', 'Faithful', 'Energetic', 'Intelligent']"
Puli,https://www.dogbreedslist.info//all-dog-breeds/puli.html,#143,Yes,27,Prices: $1500 - $2500,Lifespan: 12-16 years,"['Loyal', 'Reserved', 'Aloof', 'Quiet']"
Saluki,https://www.dogbreedslist.info//all-dog-breeds/saluki.html,#144,No,43,Prices: $2500 - $3000,Lifespan: 12-14 years,"['Intelligent', 'Intelligent', 'Obedient', 'Companionable']"
Barbet,https://www.dogbreedslist.info//all-dog-breeds/barbet.html,#145,Yes,-,Prices: $2500 - $4000,Lifespan: 13-15 years,"['Joyful', 'Familial', 'Energetic', 'Companionable']"
Redbone Coonhound,https://www.dogbreedslist.info//all-dog-breeds/redbone-coonhound.html,#146,No,-,Prices: $500 - $800,Lifespan: 12-14 years,"['Unflappable', 'Friendly', 'Watchful', 'Fearless']"
Swedish Vallhund,https://www.dogbreedslist.info//all-dog-breeds/swedish-vallhund.html,#147,No,-,Prices: $1500 - $2300,Lifespan: 12-14 years,"['Energetic', 'Friendly', 'Fearless', 'Even Tempered']"
Sealyham Terrier,https://www.dogbreedslist.info//all-dog-breeds/sealyham-terrier.html,#148,Yes,56,Prices: $1500 - $3000,Lifespan: 14-16 years,"['Calm', 'Diligent', 'Trainable', 'Loyal']"
Spanish Water Dog,https://www.dogbreedslist.info//all-dog-breeds/spanish-water-dog.html,#149,Yes,-,Prices: $1500 - $2500,Lifespan: 10-14 years,"['Athletic', 'Intelligent', 'Obedient', 'Faithful']"
Briard,https://www.dogbreedslist.info//all-dog-breeds/briard.html,#150,No,30,Prices: $1500 - $3000,Lifespan: 10-12 years,"['Fearless', 'Stubborn', 'Intelligent', 'Lively']"
Berger Picard,https://www.dogbreedslist.info//all-dog-breeds/berger-picard.html,#151,No,-,Prices: $2000 - $2500,Lifespan: 12-15 years,"['Energetic', 'Agile', 'Independent', 'Devoted']"
Entlebucher Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/entlebucher-mountain-dog.html,#152,No,-,Prices: $800 - $1500,Lifespan: 10-15 years,"['Loyal', 'Loving', 'Affectionate', 'Clever']"
Treeing Walker Coonhound,https://www.dogbreedslist.info//all-dog-breeds/treeing-walker-coonhound.html,#153,No,-,Prices: $400 - $800,Lifespan: 12-13 years,"['Trainable', 'Energetic', 'Cheerful', 'Inquisitive']"
Icelandic Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/icelandic-sheepdog.html,#154,No,-,Prices: $1000 - $1500,Lifespan: 12-15 years,"['Hardy', 'Intelligent', 'Loyal', 'Out-Going']"
Wirehaired Vizsla,https://www.dogbreedslist.info//all-dog-breeds/wirehaired-vizsla.html,#155,No,-,Prices: $1000 - $1500,Lifespan: 12-14 years,"['Protective', 'Protective', 'Reserved', 'Vocal']"
Pumi,https://www.dogbreedslist.info//all-dog-breeds/pumi.html,#156,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years,"['Lively', 'Friendly', 'Companionable', 'Active']"
Portuguese Podengo Pequeno,https://www.dogbreedslist.info//all-dog-breeds/portuguese-podengo.html,#157,No,-,Prices: $1000 - $2500,Lifespan: 12-14 years,"['Lively', 'Friendly', 'Devoted', 'Courageous']"
American Water Spaniel,https://www.dogbreedslist.info//all-dog-breeds/american-water-spaniel.html,#158,No,44,Prices: $1200 - $1500,Lifespan: 10-13 years,"['Tenacious', 'Intelligent', 'Clever', 'Independent']"
Curly-Coated Retriever,https://www.dogbreedslist.info//all-dog-breeds/curly-coated-retriever.html,#159,No,41,Prices: $1500 - $2500,Lifespan: 8-12 years,"['Lively', 'Sociable', 'Docile', 'Sensitive']"
Field Spaniel,https://www.dogbreedslist.info//all-dog-breeds/field-spaniel.html,#160,No,34,Prices: $2000 - $5000,Lifespan: 11-15 years,"['Familial', 'Happy', 'Playful', 'Familial']"
Lowchen,https://www.dogbreedslist.info//all-dog-breeds/lowchen.html,#161,Yes,-,Prices: $4000 - $8000,Lifespan: 12-15 years,"['Friendly', 'Territorial', 'Benevolent', 'Agile']"
Kooikerhondje,https://www.dogbreedslist.info//all-dog-breeds/kooikerhondje.html,#162,No,-,Prices: $3000 - $3500,Lifespan: 12-14 years,"['Alert', 'Adventurous', 'Fun-loving', 'Playful']"
Affenpinscher,https://www.dogbreedslist.info//all-dog-breeds/affenpinscher.html,#163,Yes,37,Prices: $1800 - $2500,Lifespan: 12-14 years,"['Stubborn', 'Friendly', 'Independent', 'Lively']"
Petit Basset Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/petit-basset-griffon-vendeen.html,#164,No,62,Prices: $1200 - $1600,Lifespan: 11-14 years,"['Active', 'Friendly', 'Courageous', 'Faithful']"
Finnish Lapphund,https://www.dogbreedslist.info//all-dog-breeds/finnish-lapphund.html,#165,No,-,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Calm', 'Friendly', 'Docile', 'Dignified']"
Scottish Deerhound,https://www.dogbreedslist.info//all-dog-breeds/scottish-deerhound.html,#166,No,47,Prices: $1000 - $2500,Lifespan: 8-10 years,"['Gentle', 'Intelligent', 'Loyal', 'Alert']"
Plott Hound,https://www.dogbreedslist.info//all-dog-breeds/plott-hound.html,#167,No,-,Prices: $500 - $700,Lifespan: 12-14 years,"['Bold', 'Friendly', 'Fun-loving', 'Energetic']"
Norwegian Buhund,https://www.dogbreedslist.info//all-dog-breeds/norwegian-buhund.html,#168,No,-,Prices: $2000 - $2500,Lifespan: 13-15 years,"['Courageous', 'Agile', 'Spirited', 'Gentle']"
Glen of Imaal Terrier,https://www.dogbreedslist.info//all-dog-breeds/glen-of-imaal-terrier.html,#169,No,-,Prices: $1500 - $2200,Lifespan: 12-14 years,"['Active', 'Reliable', 'Loyal', 'Energetic']"
Irish Red and White Setter,https://www.dogbreedslist.info//all-dog-breeds/irish-red-and-white-setter.html,#170,No,-,Prices: $1800 - $2500,Lifespan: 11-13 years,"['Playful', 'Engaging', 'Independent', 'Stubborn']"
Ibizan Hound,https://www.dogbreedslist.info//all-dog-breeds/ibizan-hound.html,#171,No,53,Prices: $2000 - $2500,Lifespan: 12-14 years,"['Intelligent', 'Sociable', 'Devoted', 'Calm']"
Sussex Spaniel,https://www.dogbreedslist.info//all-dog-breeds/sussex-spaniel.html,#172,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years,"['Cheerful', 'Intelligent', 'Determined', 'Patient']"
Bergamasco,https://www.dogbreedslist.info//all-dog-breeds/bergamasco.html,#173,Yes,-,Prices: $1000 - $2000,Lifespan: 13-15 years,"['Vigilant', 'Intelligent', 'Inquisitive', 'Quick']"
Irish Water Spaniel,https://www.dogbreedslist.info//all-dog-breeds/irish-water-spaniel.html,#174,Yes,24,Prices: $1500 - $2000,Lifespan: 10-12 years,"['Clownish', 'Self-Confident', 'Perceptive', 'Lively']"
Polish Lowland Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/polish-lowland-sheepdog.html,#175,Yes,-,Prices: $2000 - $2500,Lifespan: 10-12 years,"['Even Tempered', 'Boisterous', 'Amiable', 'Even Tempered']"
Otterhound,https://www.dogbreedslist.info//all-dog-breeds/otterhound.html,#176,No,46,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Patient', 'Clownish', 'Protective', 'Intelligent']"
Kuvasz,https://www.dogbreedslist.info//all-dog-breeds/kuvasz.html,#177,No,42,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Calm', 'Gentle', 'Independent', 'Fearless']"
Komondor,https://www.dogbreedslist.info//all-dog-breeds/komondor.html,#178,No,-,Prices: $800 - $1500,Lifespan: 10-12 years,"['Affectionate', 'Gentle', 'Friendly', 'Independent']"
Cirneco dellâ€™Etna,https://www.dogbreedslist.info//all-dog-breeds/cirneco-dell-etna.html,#179,No,-,Prices: $900 - $1500,Lifespan: 12-15 years,"['Trainable', 'Sociable', 'Playful', 'Intelligent']"
Pharaoh Hound,https://www.dogbreedslist.info//all-dog-breeds/pharaoh-hound.html,#180,No,37,Prices: $1800 - $2500,Lifespan: 12-14 years,"['Fun-loving', 'Independent', 'Lively', 'Determined']"
Dandie Dinmont Terrier,https://www.dogbreedslist.info//all-dog-breeds/dandie-dinmont-terrier.html,#181,Yes,62,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Energetic', 'Bossy', 'Watchful', 'Clever']"
Pyrenean Shepherd,https://www.dogbreedslist.info//all-dog-breeds/pyrenean-shepherd.html,#182,No,-,Prices: $800 - $1200,Lifespan: 15-17 years,"['Friendly', 'Intelligent', 'Good-tempered', 'Loyal']"
Skye Terrier,https://www.dogbreedslist.info//all-dog-breeds/skye-terrier.html,#183,No,55,Prices: $1500 - $2000,Lifespan: 12-14 years,"['Devoted', 'Quick', 'Cautious', 'Vigilant']"
Canaan Dog,https://www.dogbreedslist.info//all-dog-breeds/canaan-dog.html,#184,No,-,Prices: $1500 - $2000,Lifespan: 12-14 years,"['High-strung', 'Intelligent', 'Loyal', 'Energetic']"
American English Coonhound,https://www.dogbreedslist.info//all-dog-breeds/english-coonhound.html,#185,No,-,Prices: $800 - $1200,Lifespan: 10-12 years,"['Friendly', 'Calm', 'Dignified', 'Alert']"
Chinook,https://www.dogbreedslist.info//all-dog-breeds/chinook-dog.html,#186,No,-,Prices: $800 - $1200,Lifespan: 12-15 years,"['Vocal', 'Playful', 'Loyal', 'Intelligent']"
Finnish Spitz,https://www.dogbreedslist.info//all-dog-breeds/finnish-spitz.html,#187,No,43,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Stubborn', 'Fast', 'Alert', 'Courageous']"
Grand Basset Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/grand-basset-griffon-vendeen.html,#188,No,-,Prices: $1200 - $1500,Lifespan: 12-15 years,"['Sensitive', 'Intelligent', 'Faithful', 'Alert']"
Sloughi,https://www.dogbreedslist.info//all-dog-breeds/sloughi.html,#189,No,-,Prices: $1500 - $2000,Lifespan: 12-15 years,"['Cheerful', 'Sweet-tempered', 'Friendly', 'Social']"
Harrier,https://www.dogbreedslist.info//all-dog-breeds/harrier-dog.html,#190,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Quiet', 'Calm', 'Reserved', 'Cheerful']"
Cesky Terrier,https://www.dogbreedslist.info//all-dog-breeds/cesky-terrier.html,#191,Yes,-,Prices: $1200 - $2500,Lifespan: 12-15 years,"['Intelligent', 'Kind', 'Independent', 'Loyal']"
American Foxhound,https://www.dogbreedslist.info//all-dog-breeds/american-foxhound.html,#192,No,46,Prices: $500 - $700,Lifespan: 10-12 years,"['Aloof', 'Fierce', 'Refined', 'Rugged']"
Azawakh,https://www.dogbreedslist.info//all-dog-breeds/azawakh.html,#193,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years,"['Gentle', 'Sociable', 'Friendly', 'Companionable']"
English Foxhound,https://www.dogbreedslist.info//all-dog-breeds/english-foxhound.html,#194,No,46,Prices: $600 - $800,Lifespan: 10-13 years,"['Loyal', 'Protective', 'Alert', 'Energetic']"
Norwegian Lundehund,https://www.dogbreedslist.info//all-dog-breeds/norwegian-lundehund.html,#195,No,-,Prices: $2000 - $3000,Lifespan: 10-12 years,"['Clownish', 'Stubborn', 'Affectionate', 'Obedient']"
American Pit Bull Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-pit-bull-terrier.html,-,No,-,Prices: $500 - $1000,Lifespan: 10-14 years,"['Companionable', 'Fearless', 'Eager', 'Self-Confident']"
American White Shepherd,https://www.dogbreedslist.info//all-dog-breeds/american-white-shepherd.html,-,-,-,Prices: $1000 - $1500,Lifespan: 12-14 years,"['Active', 'Intelligent', 'Outgoing', 'Loving']"
Cockapoo,https://www.dogbreedslist.info//all-dog-breeds/cockapoo.html,-,No,-,Prices: $1000 - $2000,Lifespan: 14-18 years,"['Friendly', 'Trainable', 'Intelligent', 'Energetic']"
Goldendoodle,https://www.dogbreedslist.info//all-dog-breeds/goldendoodle.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-15 years,"['Proud', 'Companionable', 'Playful', 'Obedient']"
Japanese Spitz,https://www.dogbreedslist.info//all-dog-breeds/japanese-spitz.html,-,No,-,Prices: $1000 - $2500,Lifespan: 10-16 years,"['Loving', 'Loyal', 'Active', 'Playful']"
Miniature Bulldog,https://www.dogbreedslist.info//all-dog-breeds/toy-bulldog.html,-,No,-,Prices: $1500 - $4500,Lifespan: 9-12 years,"['Active', 'cheerful', 'Loyalty', 'Playful']"
Russian Toy,https://www.dogbreedslist.info//all-dog-breeds/russian-toy.html,-,No,-,Prices: $2000 - $2500,Lifespan: 11-13 years,"['Lively', 'Watchful', 'Affectionate', 'Playful']"
Volpino Italiano,https://www.dogbreedslist.info//all-dog-breeds/volpino-italiano.html,-,No,-,Prices: $700 - $1500,Lifespan: 14-16 years,"['Easygoing', 'Earnest', 'Willing', 'Intelligent']"
Bolognese dog,https://www.dogbreedslist.info//all-dog-breeds/bolognese-dog.html,-,Yes,-,Prices: $1000 - $2500,Lifespan: 13-15 years,"['Faithful', 'Trainable', 'Instinctual', 'Intelligent']"
Miniature Poodle,https://www.dogbreedslist.info//all-dog-breeds/miniature-poodle.html,-,Yes,2,Prices: $1500 - $3000,Lifespan: 14-16 years,"['Faithful', 'Trainable', 'Instinctual', 'Alert']"
Toy Poodle,https://www.dogbreedslist.info//all-dog-breeds/toy-poodle.html,-,Yes,2,Prices: $1500 - $3000,Lifespan: 14-16 years,"['Determined', 'Dignified', 'Friendly', 'Protective']"
Miniature Shar Pei,https://www.dogbreedslist.info//all-dog-breeds/miniature-shar-pei.html,-,No,-,Prices: $1500 - $3000,Lifespan: 9-11 years,"['Trainable', 'Loving', 'Dutiful', 'Active']"
Alapaha Blue Blood Bulldog,https://www.dogbreedslist.info//all-dog-breeds/alapaha-blue-blood-bulldog.html,-,No,-,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Curious', 'Intelligent', 'Agile', 'Self-assured']"
Alaskan Klee Kai,https://www.dogbreedslist.info//all-dog-breeds/alaskan-klee-kai.html,-,No,-,Prices: $1500 - $2000,Lifespan: 12-15 years,"['Lively', 'Energetic', 'Fearless', 'Loyal']"
Appenzeller Sennenhund,https://www.dogbreedslist.info//all-dog-breeds/appenzeller-sennenhund.html,-,No,-,Prices: $1800 - $2200,Lifespan: 12-15 years,"['Familial', 'Loving', 'Easygoing', 'Friendly']"
Australian Bulldog,https://www.dogbreedslist.info//all-dog-breeds/australian-bulldog.html,-,No,-,Prices: $2500 - $3500,Lifespan: 10-12 years,"['Loyal', 'Energetic', 'Eager', 'Devoted']"
Australian Kelpie,https://www.dogbreedslist.info//all-dog-breeds/australian-kelpie.html,-,No,-,Prices: $1200 - $1600,Lifespan: 10-14 years,"['Obedient', 'Courageous', 'Loyal', 'Good-natured']"
Australian Stumpy Tail Cattle Dog,https://www.dogbreedslist.info//all-dog-breeds/australian-stumpy-tail-cattle-dog.html,-,No,-,Prices: $500 - $1000,Lifespan: 10-13 years,"['Keen', 'Elegant', 'Agreeable', 'Alert']"
Austrian Black and Tan Hound,https://www.dogbreedslist.info//all-dog-breeds/austrian-black-and-tan-hound.html,-,No,-,Prices: $400 - $600,Lifespan: 12-14 years,"['Friendly', 'Devoted', 'Lively', 'Happy']"
Austrian Pinscher,https://www.dogbreedslist.info//all-dog-breeds/austrian-pinscher.html,-,No,-,Prices: $400 - $600,Lifespan: 12-14 years,"['Active', 'Curious', 'Agile', 'Stubborn']"
Basset Bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/basset-bleu-de-gascogne.html,-,No,-,Prices: $1300 - $1600,Lifespan: 11-13 years,"['Sociable', 'Courageous', 'Companionable', 'Companionable']"
Basset Fauve de Bretagne,https://www.dogbreedslist.info//all-dog-breeds/basset-fauve-de-bretagne.html,-,-,-,Prices: $1200 - $1500,Lifespan: 11-14 years,"['Sensitive', 'Watchful', 'Inquisitive', 'Kind']"
Belgian Shepherd Laekenois,https://www.dogbreedslist.info//all-dog-breeds/belgian-shepherd-laekenois.html,-,No,-,Prices: $1700 - $2500,Lifespan: 10-12 years,"['Loyal', 'Fearless', 'Protective', 'Intelligent']"
Black Mouth Cur,https://www.dogbreedslist.info//all-dog-breeds/blackmouth-cur.html,-,No,-,Prices: $500 - $1300,Lifespan: 12-18 years,"['Alert', 'Strong Willed', 'Hardy', 'Active']"
Black Norwegian Elkhound,https://www.dogbreedslist.info//all-dog-breeds/black-norwegian-elkhound.html,-,No,-,Prices: $700 - $1000,Lifespan: 12-15 years,"['Alert', 'Devoted', 'Intense', 'Playful']"
Blue Lacy,https://www.dogbreedslist.info//all-dog-breeds/blue-lacy.html,-,-,-,Prices: $400 - $600,Lifespan: 14-16 years,"['Gentle', 'Calm', 'Protective', 'Active']"
Blue Picardy Spaniel,https://www.dogbreedslist.info//all-dog-breeds/blue-picardy-spaniel.html,-,No,-,Prices: $900 - $1200,Lifespan: 12-14 years,"['Courageous', 'Trainable', 'Stable', 'Stubborn']"
Bohemian Shepherd,https://www.dogbreedslist.info//all-dog-breeds/bohemian-shepherd.html,-,No,-,Prices: $2000 - $2500,Lifespan: 10-13 years,"['Affectionate', 'Loyal', 'Companionable', 'Affectionate']"
Bracco Italiano,https://www.dogbreedslist.info//all-dog-breeds/bracco-italiano.html,-,-,-,Prices: $2000 - $2500,Lifespan: 11-13 years,"['Kind', 'Calm', 'Cooperative', 'Gentle']"
Braque du Bourbonnais,https://www.dogbreedslist.info//all-dog-breeds/braque-du-bourbonnais.html,-,No,-,Prices: $1200 - $1500,Lifespan: 13-15 years,"['Friendly', 'Keen', 'Restless', 'Independent']"
Brazilian Terrier,https://www.dogbreedslist.info//all-dog-breeds/brazilian-terrier.html,-,-,-,Prices: $800 - $1000,Lifespan: 12-14 years,"['Dominant', 'Brave', 'Proud', 'Affectionate']"
Bulgarian Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/bulgarian-shepherd-dog.html,-,No,-,Prices: $800 - $1000,Lifespan: 12-14 years,"['Loyal', 'Brave', 'Tough', 'Gentle']"
Canadian Eskimo Dog,https://www.dogbreedslist.info//all-dog-breeds/canadian-eskimo-dog.html,-,No,-,Prices: $3500 - $8000,Lifespan: 12-14 years,"['Loyal', 'Reserved', 'Adaptable', 'Courageous']"
Carolina Dog,https://www.dogbreedslist.info//all-dog-breeds/carolina-dog.html,-,No,-,Prices: $800 - $1500,Lifespan: 12-14 years,"['Calm', 'Dignified', 'Devoted', 'Loyal']"
Carpathian Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/carpathian-sheepdog.html,-,No,-,Prices: $1500 - $2000,Lifespan: 12-14 years,"['Companionable', 'Hunting Instinct', 'Independent', 'Energetic']"
Catahoula Bulldog,https://www.dogbreedslist.info//all-dog-breeds/catahoula-bulldog.html,-,No,-,Prices: $400 - $700,Lifespan: 10-14 years,"['Inquisitive', 'Loving', 'Intelligent', 'Agile']"
Catahoula Leopard Dog,https://www.dogbreedslist.info//all-dog-breeds/catahoula-leopard-dog.html,-,No,-,Prices: $400 - $700,Lifespan: 11-13 years,"['Protective', 'Trainable', 'Quick', 'Calm']"
Catalan Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/catalan-sheepdog.html,-,No,-,Prices: $1200 - $1500,Lifespan: 12-14 years,"['Dominant', 'Powerful', 'Curious', 'Independent']"
Caucasian Ovcharka,https://www.dogbreedslist.info//all-dog-breeds/caucasian-ovtcharka.html,-,No,-,Prices: $1000 - $3000,Lifespan: 10-12 years,"['Adaptable', 'Strong', 'Agile', 'Energetic']"
Central Asian Ovtcharka,https://www.dogbreedslist.info//all-dog-breeds/central-asian-ovtcharka.html,-,-,-,Prices: $1200 - $2000,Lifespan: 12-14 years,"['Companionable', 'Keen', 'Sociable', 'Quick']"
Croatian Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/croatian-sheepdog.html,-,-,-,Prices: $1000 - $1200,Lifespan: 12-14 years,"['Courageous', 'Lively', 'Affectionate', 'Obedient']"
Czechoslovakian Wolfdog,https://www.dogbreedslist.info//all-dog-breeds/czechoslovakian-wolfdog.html,-,No,-,Prices: $800 - $1500,Lifespan: 12-15 years,"['Loyal', 'Trainable', 'Confident', 'Very agile']"
Dutch Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/dutch-shepherd-dog.html,-,No,-,Prices: $1000 - $2500,Lifespan: 12-15 years,"['Sensitive', 'Loyal', 'Kind', 'Independent']"
East-European Shepherd,https://www.dogbreedslist.info//all-dog-breeds/east-european-shepherd.html,-,No,-,Prices: $900 - $1200,Lifespan: 12-14 years,"['Energetic', 'Adaptable', 'Even Tempered', 'Calm']"
English Shepherd,https://www.dogbreedslist.info//all-dog-breeds/english-shepherd.html,-,No,-,Prices: $400 - $800,Lifespan: 12-15 years,"['Reserved', 'Watchful', 'Determined', 'Loyal']"
Eurasier,https://www.dogbreedslist.info//all-dog-breeds/eurasier.html,-,No,-,Prices: $2000 - $2500,Lifespan: 11-13 years,"['Obedient', 'Docile', 'Tough', 'Loving']"
Fila Brasileiro,https://www.dogbreedslist.info//all-dog-breeds/fila-brasileiro.html,-,No,-,Prices: $1500 - $2000,Lifespan: 9-11 years,"['Adaptable', 'Energetic', 'Reliable', 'Courageous']"
French Spaniel,https://www.dogbreedslist.info//all-dog-breeds/french-spaniel.html,-,No,-,Prices: $1500 - $2000,Lifespan: 10-12 years,"['Sociable', 'Strong Willed', 'Affectionate', 'Friendly']"
Jagdterrier,https://www.dogbreedslist.info//all-dog-breeds/jagdterrier.html,-,No,-,Prices: $700 - $1000,Lifespan: 12-15 years,"['Kind', 'Familial', 'Lively', 'Dependable']"
German Longhaired Pointer,https://www.dogbreedslist.info//all-dog-breeds/german-longhaired-pointer.html,-,No,-,Prices: $1000 - $1600,Lifespan: 10-12 years,"['Trainable', 'Trustworthy', 'Alert', 'Dignified']"
Large Munsterlander,https://www.dogbreedslist.info//all-dog-breeds/large-munsterlander.html,-,No,-,Prices: $1500 - $1800,Lifespan: 11-13 years,"['Docile', 'Faithful', 'Watchful', 'Even Tempered']"
Hokkaido Dog,https://www.dogbreedslist.info//all-dog-breeds/hokkaido-dog.html,-,No,-,Prices: $1000 - $1500,Lifespan: 11-13 years,"['Reserved', 'Familial', 'Loyal', 'Brave']"
Hovawart,https://www.dogbreedslist.info//all-dog-breeds/hovawart.html,-,No,-,Prices: $1200 - $3500,Lifespan: 10-14 years,"['Active', 'Faithful', 'Tenacious', 'Cautious']"
Korean Jindo,https://www.dogbreedslist.info//all-dog-breeds/korean-jindo-dog.html,-,No,-,Prices: $800 - $1000,Lifespan: 12-15 years,"['Loyal', 'Brave', 'Faithful', 'Docile']"
